Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.37,QX200 ddPCR EvaGreen Supermix,7.4,,,0.76,0.15,6,18933,,,,,,18939,,,,,,,,,,,,,,,,,,1,1,10983,13581,7776.6,7778.5,"",,,,0.55,0.24,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.46,0.04,3,20559,,,,,,20562,,,,,,,,,,,,,,,,,,1,1,10983,14085,7305.6,7306.6,"",,,,0.29,0.09,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",9.9,QX200 ddPCR EvaGreen Supermix,198,,,11.4,8.4,163,19280,,,,,,19443,,,,,,,,,,,,,,,,,,1,1,10983,15243,7942.3,8003.5,"",,,,10.7,9.1,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",2.7,QX200 ddPCR EvaGreen Supermix,54,,,3.6,2,46,19821,,,,,,19867,,,,,,,,,,,,,,,,,,1,1,10983,16215,7253,7273.7,"",,,,3.15,2.35,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.37,QX200 ddPCR EvaGreen Supermix,7.4,,,0.79,0.13,5,16099,,,,,,16104,,,,,,,,,,,,,,,,,,1,1,10983,15048,7278.6,7281,"",,,,0.56,0.22,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.83,QX200 ddPCR EvaGreen Supermix,16.6,,,1.35,0.47,14,19807,,,,,,19821,,,,,,,,,,,,,,,,,,1,1,10983,14069,8928.6,8932.3,"",,,,1.07,0.63,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.18,QX200 ddPCR EvaGreen Supermix,3.6,,,0.46,0.04,3,20119,,,,,,20122,,,,,,,,,,,,,,,,,,1,1,10983,15335,8094.4,8095.5,"",,,,0.3,0.09,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.75,QX200 ddPCR EvaGreen Supermix,15,,,1.24,0.41,13,20433,,,,,,20446,,,,,,,,,,,,,,,,,,1,1,10983,13378,8420.7,8423.8,"",,,,0.98,0.56,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.1,QX200 ddPCR EvaGreen Supermix,22,,,1.7,0.7,20,20779,,,,,,20799,,,,,,,,,,,,,,,,,,1,1,10983,12933,7624.2,7629.3,"",,,,1.4,0.9,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",2.1,QX200 ddPCR EvaGreen Supermix,42,,,2.9,1.5,38,20983,,,,,,21021,,,,,,,,,,,,,,,,,,1,1,10983,19191,7334,7355.4,"",,,,2.49,1.8,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",9,QX200 ddPCR EvaGreen Supermix,180,,,10.4,7.6,159,20714,,,,,,20873,,,,,,,,,,,,,,,,,,1,1,10983,15207,7792,7848.4,"",,,,9.7,8.3,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5.3,QX200 ddPCR EvaGreen Supermix,106,,,6.4,4.3,91,20217,,,,,,20308,,,,,,,,,,,,,,,,,,1,1,10983,15731,7343,7380.6,"",,,,5.9,4.8,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.41,QX200 ddPCR EvaGreen Supermix,8.2,,,0.83,0.16,6,17394,,,,,,17400,,,,,,,,,,,,,,,,,,1,1,10983,12799,7084.6,7086.6,"",,,,0.6,0.26,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.3,QX200 ddPCR EvaGreen Supermix,26,,,2,0.9,23,20361,,,,,,20384,,,,,,,,,,,,,,,,,,1,1,10983,12835,8981.4,8985.7,"",,,,1.62,1.07,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.46,0.04,3,20490,,,,,,20493,,,,,,,,,,,,,,,,,,1,1,10983,14137,8029.6,8030.5,"",,,,0.29,0.09,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.71,QX200 ddPCR EvaGreen Supermix,14.2,,,1.19,0.38,12,19900,,,,,,19912,,,,,,,,,,,,,,,,,,1,1,10983,14047,8363.7,8367.2,"",,,,0.93,0.52,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.23,QX200 ddPCR EvaGreen Supermix,4.6,,,0.55,0.07,4,20293,,,,,,20297,,,,,,,,,,,,,,,,,,1,1,10983,15776,7715.5,7717.1,"",,,,0.37,0.13,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.77,0.17,7,20829,,,,,,20836,,,,,,,,,,,,,,,,,,1,1,10983,14279,7213.3,7215.7,"",,,,0.57,0.26,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",23.2,QX200 ddPCR EvaGreen Supermix,464,,,25.5,20.9,400,20087,,,,,,20487,,,,,,,,,,,,,,,,,,1,1,10983,15354,7689.9,7839.6,"",,,,24.4,22,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",7.1,QX200 ddPCR EvaGreen Supermix,142,,,8.4,5.9,121,19877,,,,,,19998,,,,,,,,,,,,,,,,,,1,1,10983,15532,7354.1,7403.5,"",,,,7.8,6.5,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.1,QX200 ddPCR EvaGreen Supermix,22,,,1.9,0.6,14,14344,,,,,,14358,,,,,,,,,,,,,,,,,,1,1,10983,13632,7657.1,7662.9,"",,,,1.48,0.87,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.9,QX200 ddPCR EvaGreen Supermix,18,,,1.44,0.52,15,19578,,,,,,19593,,,,,,,,,,,,,,,,,,1,1,10983,13957,8942,8945.8,"",,,,1.15,0.69,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.13,QX200 ddPCR EvaGreen Supermix,2.6,,,0.41,0.02,2,18462,,,,,,18464,,,,,,,,,,,,,,,,,,1,1,10983,15246,8071.1,8071.9,"",,,,0.25,0.06,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.29,0,1,19467,,,,,,19468,,,,,,,,,,,,,,,,,,1,1,10983,17958,7703.9,7704.4,"",,,,0.15,0.02,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.18,QX200 ddPCR EvaGreen Supermix,3.6,,,0.48,0.04,3,19520,,,,,,19523,,,,,,,,,,,,,,,,,,1,1,10983,14633,7770.2,7771.3,"",,,,0.31,0.09,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.24,QX200 ddPCR EvaGreen Supermix,4.8,,,0.58,0.07,4,19242,,,,,,19246,,,,,,,,,,,,,,,,,,1,1,10983,13052,7370.1,7371.3,"",,,,0.39,0.14,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",30.5,QX200 ddPCR EvaGreen Supermix,610,,,33.2,27.9,516,19622,,,,,,20138,,,,,,,,,,,,,,,,,,1,1,10983,15098,7611.3,7803.1,"",,,,31.9,29.2,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5,QX200 ddPCR EvaGreen Supermix,100,,,6.1,4,82,19418,,,,,,19500,,,,,,,,,,,,,,,,,,1,1,10983,15754,7378.3,7413.5,"",,,,5.5,4.4,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",61.3,QX200 ddPCR EvaGreen Supermix,1226,,,65.6,57,791,14792,,,,,,15583,,,,,,,,,,,,,,,,,,1,1,10983,17745,7619.5,8133.5,"",,,,63.5,59.1,,,,,,,,,,,,,
