Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.3,QX200 ddPCR EvaGreen Supermix,6,,,0.66,0.11,5,19473,,,,,,19478,,,,,,,,,,,,,,,,,,1,1,13106,16043,8234.8,8236.8,,,,,0.46,0.19,,,,,,,,,,,,
D06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.12,QX200 ddPCR EvaGreen Supermix,2.4,,,0.37,0.02,2,20438,,,,,,20440,,,,,,,,,,,,,,,,,,1,1,13106,17900,7724.6,7725.6,,,,,0.22,0.05,,,,,,,,,,,,
D07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.36,QX200 ddPCR EvaGreen Supermix,7.2,,,0.74,0.14,6,19448,,,,,,19454,,,,,,,,,,,,,,,,,,1,1,13106,17027,7462.4,7465.4,,,,,0.53,0.23,,,,,,,,,,,,
D08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.12,QX200 ddPCR EvaGreen Supermix,2.4,,,0.39,0.02,2,19176,,,,,,19178,,,,,,,,,,,,,,,,,,1,1,13106,18360,7298.4,7299.5,,,,,0.24,0.05,,,,,,,,,,,,
D09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.58,QX200 ddPCR EvaGreen Supermix,11.6,,,1.05,0.28,9,18254,,,,,,18263,,,,,,,,,,,,,,,,,,1,1,14035,14893,11288,11290,,,,,0.8,0.41,,,,,,,,,,,,
E01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.5,QX200 ddPCR EvaGreen Supermix,10,,,0.97,0.21,7,16580,,,,,,16587,,,,,,,,,,,,,,,,,,1,1,13106,15657,10259,10261,,,,,0.71,0.33,,,,,,,,,,,,
E02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.43,QX200 ddPCR EvaGreen Supermix,8.6,,,0.84,0.18,7,19090,,,,,,19097,,,,,,,,,,,,,,,,,,1,1,13106,16981,9215.1,9217.9,,,,,0.62,0.29,,,,,,,,,,,,
E03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.3,QX200 ddPCR EvaGreen Supermix,6,,,0.66,0.11,5,19353,,,,,,19358,,,,,,,,,,,,,,,,,,1,1,13106,20483,8697.8,8700.9,,,,,0.46,0.19,,,,,,,,,,,,
E04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.62,QX200 ddPCR EvaGreen Supermix,12.4,,,1.1,0.31,10,18892,,,,,,18902,,,,,,,,,,,,,,,,,,1,1,13106,15488,8902.7,8906.2,,,,,0.84,0.45,,,,,,,,,,,,
E05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.23,QX200 ddPCR EvaGreen Supermix,4.6,,,0.53,0.07,4,20867,,,,,,20871,,,,,,,,,,,,,,,,,,1,1,13106,19436,8099.8,8101.9,,,,,0.36,0.13,,,,,,,,,,,,
E06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.11,QX200 ddPCR EvaGreen Supermix,2.2,,,0.37,0.02,2,20480,,,,,,20482,,,,,,,,,,,,,,,,,,1,1,13106,18632,7750.5,7751.5,,,,,0.22,0.05,,,,,,,,,,,,
E07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.28,QX200 ddPCR EvaGreen Supermix,5.6,,,0.6,0.1,5,21191,,,,,,21196,,,,,,,,,,,,,,,,,,1,1,13106,15855,7467.4,7469.4,,,,,0.42,0.17,,,,,,,,,,,,
E08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.29,0,1,19345,,,,,,19346,,,,,,,,,,,,,,,,,,1,1,13106,16828,7204.4,7204.9,,,,,0.15,0.02,,,,,,,,,,,,
E09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,CHECK,0,QX200 ddPCR EvaGreen Supermix,0,,,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,13106,0,0,0,,,,,,,,,,,,,,,,,,
F01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.31,QX200 ddPCR EvaGreen Supermix,6.2,,,0.73,0.09,4,15303,,,,,,15307,,,,,,,,,,,,,,,,,,1,1,13106,15226,10265,10266,,,,,0.49,0.18,,,,,,,,,,,,
F02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.32,QX200 ddPCR EvaGreen Supermix,6.4,,,0.7,0.11,5,18175,,,,,,18180,,,,,,,,,,,,,,,,,,1,1,13106,16404,9180.6,9182.6,,,,,0.49,0.2,,,,,,,,,,,,
F03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.28,QX200 ddPCR EvaGreen Supermix,5.6,,,0.61,0.1,5,21075,,,,,,21080,,,,,,,,,,,,,,,,,,1,1,13106,19547,8786.7,8789.3,,,,,0.43,0.17,,,,,,,,,,,,
F04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0,QX200 ddPCR EvaGreen Supermix,0,,,0.17,0,0,21031,,,,,,21031,,,,,,,,,,,,,,,,,,1,1,13106,0,8072.8,8072.8,,,,,0.077,0,,,,,,,,,,,,
F05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.22,QX200 ddPCR EvaGreen Supermix,4.4,,,0.52,0.07,4,21350,,,,,,21354,,,,,,,,,,,,,,,,,,1,1,13106,16178,8061.3,8062.9,,,,,0.35,0.13,,,,,,,,,,,,
F06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.39,QX200 ddPCR EvaGreen Supermix,7.8,,,0.79,0.15,6,18312,,,,,,18318,,,,,,,,,,,,,,,,,,1,1,13106,15872,7629.7,7632.4,,,,,0.57,0.25,,,,,,,,,,,,
F07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.58,QX200 ddPCR EvaGreen Supermix,11.6,,,1.03,0.29,10,20175,,,,,,20185,,,,,,,,,,,,,,,,,,1,1,13106,20062,7468.5,7474.8,,,,,0.79,0.42,,,,,,,,,,,,
F08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.28,QX200 ddPCR EvaGreen Supermix,5.6,,,0.62,0.1,5,20705,,,,,,20710,,,,,,,,,,,,,,,,,,1,1,13106,17058,7192.2,7194.6,,,,,0.43,0.17,,,,,,,,,,,,
F09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.12,QX200 ddPCR EvaGreen Supermix,2.4,,,0.38,0.02,2,19579,,,,,,19581,,,,,,,,,,,,,,,,,,1,1,11491,15022,7031.2,7032.1,,,,,0.23,0.05,,,,,,,,,,,,
G01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1,QX200 ddPCR EvaGreen Supermix,20,,,1.6,0.6,16,18221,,,,,,18237,,,,,,,,,,,,,,,,,,1,1,13106,16637,10019,10025,,,,,1.31,0.8,,,,,,,,,,,,
G02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.34,QX200 ddPCR EvaGreen Supermix,6.8,,,0.7,0.13,6,20506,,,,,,20512,,,,,,,,,,,,,,,,,,1,1,13106,15989,9067,9069,,,,,0.51,0.22,,,,,,,,,,,,
G03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.28,0,1,20223,,,,,,20224,,,,,,,,,,,,,,,,,,1,1,13106,13158,8439.5,8439.7,,,,,0.14,0.02,,,,,,,,,,,,
G04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.28,0,1,20069,,,,,,20070,,,,,,,,,,,,,,,,,,1,1,13106,17601,8091,8091.5,,,,,0.15,0.02,,,,,,,,,,,,
G05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.32,QX200 ddPCR EvaGreen Supermix,6.4,,,0.69,0.11,5,18497,,,,,,18502,,,,,,,,,,,,,,,,,,1,1,13106,15259,8145.2,8147.2,,,,,0.48,0.19,,,,,,,,,,,,
G06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.23,QX200 ddPCR EvaGreen Supermix,4.6,,,0.53,0.07,4,20890,,,,,,20894,,,,,,,,,,,,,,,,,,1,1,13106,16482,7607.9,7609.6,,,,,0.36,0.13,,,,,,,,,,,,
G07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.52,QX200 ddPCR EvaGreen Supermix,10.4,,,0.94,0.25,9,20418,,,,,,20427,,,,,,,,,,,,,,,,,,1,1,13106,15802,7480.2,7483.9,,,,,0.71,0.36,,,,,,,,,,,,
G08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.23,QX200 ddPCR EvaGreen Supermix,4.6,,,0.54,0.07,4,20580,,,,,,20584,,,,,,,,,,,,,,,,,,1,1,13106,21703,7210.2,7213,,,,,0.37,0.13,,,,,,,,,,,,
G09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.36,QX200 ddPCR EvaGreen Supermix,7.2,,,0.74,0.14,6,19388,,,,,,19394,,,,,,,,,,,,,,,,,,1,1,11209,16941,6946.5,6949.6,,,,,0.54,0.23,,,,,,,,,,,,
H01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1.1,QX200 ddPCR EvaGreen Supermix,22,,,1.8,0.7,17,17484,,,,,,17501,,,,,,,,,,,,,,,,,,1,1,13106,16549,10003,10009,,,,,1.44,0.89,,,,,,,,,,,,
H02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.38,QX200 ddPCR EvaGreen Supermix,7.6,,,0.78,0.15,6,18596,,,,,,18602,,,,,,,,,,,,,,,,,,1,1,13106,16090,8981.9,8984.2,,,,,0.56,0.24,,,,,,,,,,,,
H03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1,QX200 ddPCR EvaGreen Supermix,20,,,1.54,0.61,18,21152,,,,,,21170,,,,,,,,,,,,,,,,,,1,1,13106,20072,8329.6,8339.6,,,,,1.26,0.78,,,,,,,,,,,,
H04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.46,0.04,3,20180,,,,,,20183,,,,,,,,,,,,,,,,,,1,1,13106,17281,8203.7,8205,,,,,0.3,0.09,,,,,,,,,,,,
H05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.35,QX200 ddPCR EvaGreen Supermix,7,,,0.71,0.14,6,20228,,,,,,20234,,,,,,,,,,,,,,,,,,1,1,13106,15582,8220.7,8222.9,,,,,0.51,0.22,,,,,,,,,,,,
H06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.29,QX200 ddPCR EvaGreen Supermix,5.8,,,0.64,0.1,5,20053,,,,,,20058,,,,,,,,,,,,,,,,,,1,1,13106,17703,7523.3,7525.8,,,,,0.45,0.18,,,,,,,,,,,,
H07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.67,QX200 ddPCR EvaGreen Supermix,13.4,,,1.13,0.36,12,20969,,,,,,20981,,,,,,,,,,,,,,,,,,1,1,13106,17383,7306,7311.7,,,,,0.89,0.5,,,,,,,,,,,,
H08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.29,0,1,19289,,,,,,19290,,,,,,,,,,,,,,,,,,1,1,13106,17118,7125.2,7125.7,,,,,0.15,0.02,,,,,,,,,,,,
H09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.32,QX200 ddPCR EvaGreen Supermix,6.4,,,0.69,0.11,5,18637,,,,,,18642,,,,,,,,,,,,,,,,,,1,1,10983,13531,6921.3,6923.1,,,,,0.48,0.19,,,,,,,,,,,,
