Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1210,QX200 ddPCR EvaGreen Supermix,24200,,,1234,1188,11621,6464,,,,,,18085,,,,,,,,,,,,,,,,,,1,1,9124,18304,2836.2,12776,"",,,,1222,1199,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",135,QX200 ddPCR EvaGreen Supermix,2700,,,140,129,2122,17519,,,,,,19641,,,,,,,,,,,,,,,,,,1,1,9124,18916,2452.2,4231,"",,,,137.4,131.6,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",48.7,QX200 ddPCR EvaGreen Supermix,974,,,52.2,45.2,743,17579,,,,,,18322,,,,,,,,,,,,,,,,,,1,1,9124,18834,2297.3,2967.9,"",,,,50.5,46.9,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",47.1,QX200 ddPCR EvaGreen Supermix,942,,,50.6,43.7,728,17808,,,,,,18536,,,,,,,,,,,,,,,,,,1,1,9124,18723,2202.4,2851.3,"",,,,48.9,45.4,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",10,QX200 ddPCR EvaGreen Supermix,200,,,11.7,8.3,138,16157,,,,,,16295,,,,,,,,,,,,,,,,,,1,1,9124,18643,2152.1,2291.7,"",,,,10.9,9.2,,,,,,,,,,,,,
"C09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",7710,QX200 ddPCR EvaGreen Supermix,154200,,,8220,7270,16805,24,,,,,,16829,,,,,,,,,,,,,,,,,,1,1,9124,15610,3518.2,15593,"",,,,7960,7480,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",424,QX200 ddPCR EvaGreen Supermix,8480,,,435,413,6069,13995,,,,,,20064,,,,,,,,,,,,,,,,,,1,1,9124,18676,3221.7,7896.5,"",,,,429,418,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9.4,QX200 ddPCR EvaGreen Supermix,188,,,10.8,8,177,22077,,,,,,22254,,,,,,,,,,,,,,,,,,1,1,9124,17475,2596.8,2715.2,"",,,,10.1,8.7,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",60.9,QX200 ddPCR EvaGreen Supermix,1218,,,64.5,57.3,1080,20330,,,,,,21410,,,,,,,,,,,,,,,,,,1,1,9124,18733,2586.8,3401.3,"",,,,62.7,59,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",773,QX200 ddPCR EvaGreen Supermix,15460,,,793,753,5975,6430,,,,,,12405,,,,,,,,,,,,,,,,,,1,1,9124,20618,3413.6,11700,"",,,,783,763,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",176,QX200 ddPCR EvaGreen Supermix,3520,,,183,169,2482,15345,,,,,,17827,,,,,,,,,,,,,,,,,,1,1,9124,19160,2476.1,4799,"",,,,179.9,172.8,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",48.8,QX200 ddPCR EvaGreen Supermix,976,,,52.2,45.3,780,18431,,,,,,19211,,,,,,,,,,,,,,,,,,1,1,9124,18943,2270.3,2947.2,"",,,,50.5,47,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",45.3,QX200 ddPCR EvaGreen Supermix,906,,,48.6,42,728,18559,,,,,,19287,,,,,,,,,,,,,,,,,,1,1,9124,18741,2218.8,2842.5,"",,,,46.9,43.6,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",11.5,QX200 ddPCR EvaGreen Supermix,230,,,13.2,9.8,177,18045,,,,,,18222,,,,,,,,,,,,,,,,,,1,1,9124,19119,2173.2,2337.8,"",,,,12.3,10.6,,,,,,,,,,,,,
"D09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9000,QX200 ddPCR EvaGreen Supermix,180000,,,10000,8200,14339,7,,,,,,14346,,,,,,,,,,,,,,,,,,1,1,9124,15968,5366.2,15963,"",,,,9450,8550,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",410,QX200 ddPCR EvaGreen Supermix,8200,,,421,399,5866,14070,,,,,,19936,,,,,,,,,,,,,,,,,,1,1,9124,18451,3181.9,7674.6,"",,,,415,405,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",35,QX200 ddPCR EvaGreen Supermix,700,,,37.9,32.1,558,18487,,,,,,19045,,,,,,,,,,,,,,,,,,1,1,9124,18528,2779.5,3241,"",,,,36.5,33.5,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",38.7,QX200 ddPCR EvaGreen Supermix,774,,,41.6,35.7,660,19758,,,,,,20418,,,,,,,,,,,,,,,,,,1,1,9124,18878,2585.3,3112,"",,,,40.2,37.2,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1614,QX200 ddPCR EvaGreen Supermix,32280,,,1644,1584,13153,4471,,,,,,17624,,,,,,,,,,,,,,,,,,1,1,9124,18065,2884.6,14214,"",,,,1629,1599,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",124,QX200 ddPCR EvaGreen Supermix,2480,,,129,118,1846,16667,,,,,,18513,,,,,,,,,,,,,,,,,,1,1,9124,19238,2425,4101.5,"",,,,126.5,120.7,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",53.5,QX200 ddPCR EvaGreen Supermix,1070,,,57.2,49.7,779,16759,,,,,,17538,,,,,,,,,,,,,,,,,,1,1,9124,18609,2289.7,3014.5,"",,,,55.4,51.5,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",120,QX200 ddPCR EvaGreen Supermix,2400,,,125,114,1870,17450,,,,,,19320,,,,,,,,,,,,,,,,,,1,1,9124,19146,2255.2,3890,"",,,,122.5,117,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",4.6,QX200 ddPCR EvaGreen Supermix,92,,,5.7,3.6,75,19124,,,,,,19199,,,,,,,,,,,,,,,,,,1,1,9124,19455,2160.4,2228,"",,,,5.2,4.1,,,,,,,,,,,,,
"E09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.69,QX200 ddPCR EvaGreen Supermix,13.8,,,1.22,0.35,10,16952,,,,,,16962,,,,,,,,,,,,,,,,,,1,1,9124,19366,2111.8,2122,"",,,,0.94,0.5,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",598,QX200 ddPCR EvaGreen Supermix,11960,,,611,585,7932,11972,,,,,,19904,,,,,,,,,,,,,,,,,,1,1,9124,18085,3182.4,9121.2,"",,,,605,591,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",53.2,QX200 ddPCR EvaGreen Supermix,1064,,,56.6,49.8,938,20293,,,,,,21231,,,,,,,,,,,,,,,,,,1,1,9124,18615,2742.9,3444.1,"",,,,54.9,51.4,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",103.4,QX200 ddPCR EvaGreen Supermix,2068,,,108.3,98.5,1684,18331,,,,,,20015,,,,,,,,,,,,,,,,,,1,1,9124,18667,2580.6,3934.1,"",,,,105.9,100.9,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",33.1,QX200 ddPCR EvaGreen Supermix,662,,,35.9,30.4,562,19681,,,,,,20243,,,,,,,,,,,,,,,,,,1,1,9124,18762,2407.6,2861.6,"",,,,34.5,31.7,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",224,QX200 ddPCR EvaGreen Supermix,4480,,,232,216,3410,16259,,,,,,19669,,,,,,,,,,,,,,,,,,1,1,9124,19146,2466.2,5357.9,"",,,,227.8,220.2,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",51,QX200 ddPCR EvaGreen Supermix,1020,,,56,46,371,8410,,,,,,8781,,,,,,,,,,,,,,,,,,1,1,9124,18115,2474.1,3135,"",,,,53.4,48.2,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",100.4,QX200 ddPCR EvaGreen Supermix,2008,,,105.3,95.4,1586,17808,,,,,,19394,,,,,,,,,,,,,,,,,,1,1,9124,18430,2205.3,3532.1,"",,,,102.9,97.9,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9.1,QX200 ddPCR EvaGreen Supermix,182,,,10.5,7.6,146,18894,,,,,,19040,,,,,,,,,,,,,,,,,,1,1,9124,18819,2156.9,2284.7,"",,,,9.8,8.3,,,,,,,,,,,,,
"F09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",8,QX200 ddPCR EvaGreen Supermix,160,,,9.4,6.6,122,17843,,,,,,17965,,,,,,,,,,,,,,,,,,1,1,9124,18513,2134.1,2245.3,"",,,,8.7,7.3,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",480,QX200 ddPCR EvaGreen Supermix,9600,,,491,468,6767,13447,,,,,,20214,,,,,,,,,,,,,,,,,,1,1,9124,18879,3097.3,8380.4,"",,,,485,474,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",38.2,QX200 ddPCR EvaGreen Supermix,764,,,41.1,35.3,650,19695,,,,,,20345,,,,,,,,,,,,,,,,,,1,1,9124,18397,2730.3,3230.8,"",,,,39.7,36.7,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",30,QX200 ddPCR EvaGreen Supermix,600,,,32.6,27.4,508,19647,,,,,,20155,,,,,,,,,,,,,,,,,,1,1,9124,19080,2517.4,2934.8,"",,,,31.4,28.7,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",29.7,QX200 ddPCR EvaGreen Supermix,594,,,32.3,27.1,508,19868,,,,,,20376,,,,,,,,,,,,,,,,,,1,1,9124,18817,2386.6,2796.3,"",,,,31,28.4,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",287,QX200 ddPCR EvaGreen Supermix,5740,,,296,278,4007,14496,,,,,,18503,,,,,,,,,,,,,,,,,,1,1,9124,18874,2471.9,6024,"",,,,291.7,282.6,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",62.7,QX200 ddPCR EvaGreen Supermix,1254,,,66.6,58.9,1013,18492,,,,,,19505,,,,,,,,,,,,,,,,,,1,1,9124,19253,2283.3,3164.6,"",,,,64.7,60.8,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.78,0.17,7,20491,,,,,,20498,,,,,,,,,,,,,,,,,,1,1,9124,18359,2150,2155.6,"",,,,0.57,0.27,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",285,QX200 ddPCR EvaGreen Supermix,5700,,,294,276,3825,13953,,,,,,17778,,,,,,,,,,,,,,,,,,1,1,9124,18879,2254.3,5831.2,"",,,,289.6,280.4,,,,,,,,,,,,,
"G09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",4.9,QX200 ddPCR EvaGreen Supermix,98,,,6.1,3.9,81,19378,,,,,,19459,,,,,,,,,,,,,,,,,,1,1,9124,19282,2136.5,2207.9,"",,,,5.5,4.4,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1439,QX200 ddPCR EvaGreen Supermix,28780,,,1466,1412,12704,5300,,,,,,18004,,,,,,,,,,,,,,,,,,1,1,9124,18712,3286.8,14171,"",,,,1452,1425,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",35.1,QX200 ddPCR EvaGreen Supermix,702,,,37.8,32.3,629,20798,,,,,,21427,,,,,,,,,,,,,,,,,,1,1,9124,18001,2680.9,3130.7,"",,,,36.5,33.7,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",69.8,QX200 ddPCR EvaGreen Supermix,1396,,,73.8,65.9,1218,19917,,,,,,21135,,,,,,,,,,,,,,,,,,1,1,9124,18794,2500.4,3439.4,"",,,,71.8,67.8,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",52.9,QX200 ddPCR EvaGreen Supermix,1058,,,56.4,49.4,892,19403,,,,,,20295,,,,,,,,,,,,,,,,,,1,1,9124,18914,2411.3,3136.7,"",,,,54.7,51.1,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",468,QX200 ddPCR EvaGreen Supermix,9360,,,480,457,6260,12799,,,,,,19059,,,,,,,,,,,,,,,,,,1,1,9124,18514,2524.6,7776.5,"",,,,474,462,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",47.7,QX200 ddPCR EvaGreen Supermix,954,,,51.1,44.3,760,18367,,,,,,19127,,,,,,,,,,,,,,,,,,1,1,9124,19046,2271,2937.5,"",,,,49.4,46,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.51,QX200 ddPCR EvaGreen Supermix,10.2,,,0.92,0.24,9,20868,,,,,,20877,,,,,,,,,,,,,,,,,,1,1,9124,17789,2151.1,2157.8,"",,,,0.7,0.36,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",222,QX200 ddPCR EvaGreen Supermix,4440,,,230,214,3059,14733,,,,,,17792,,,,,,,,,,,,,,,,,,1,1,9124,18992,2214.3,5098.9,"",,,,226,217.9,,,,,,,,,,,,,
"H09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",6.5,QX200 ddPCR EvaGreen Supermix,130,,,7.8,5.3,107,19242,,,,,,19349,,,,,,,,,,,,,,,,,,1,1,9124,19448,2122.2,2218.1,"",,,,7.2,5.9,,,,,,,,,,,,,
