Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",691,QX200 ddPCR EvaGreen Supermix,13820,,,706,676,8145,10196,,,,,,18341,,,,,,,,,,,,,,,,,,1,1,9124,18650,2990.5,9944.6,"",,,,699,683,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",80.3,QX200 ddPCR EvaGreen Supermix,1606,,,85.2,75.5,1070,15139,,,,,,16209,,,,,,,,,,,,,,,,,,1,1,9124,18929,2683.1,3755.6,"",,,,82.8,77.9,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1162,QX200 ddPCR EvaGreen Supermix,23240,,,1184,1141,11755,6973,,,,,,18728,,,,,,,,,,,,,,,,,,1,1,9124,18255,2845.1,12518,"",,,,1174,1151,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1058,QX200 ddPCR EvaGreen Supermix,21160,,,1079,1037,10343,7099,,,,,,17442,,,,,,,,,,,,,,,,,,1,1,9124,18480,2742.5,12075,"",,,,1068,1047,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",97,QX200 ddPCR EvaGreen Supermix,1940,,,102,91,1371,16026,,,,,,17397,,,,,,,,,,,,,,,,,,1,1,9124,19134,2455.1,3769.4,"",,,,99.2,94,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.57,QX200 ddPCR EvaGreen Supermix,11.4,,,1.12,0.24,7,14340,,,,,,14347,,,,,,,,,,,,,,,,,,1,1,9124,20226,2337.8,2346.6,"",,,,0.82,0.38,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",77.8,QX200 ddPCR EvaGreen Supermix,1556,,,82.3,73.5,1203,17586,,,,,,18789,,,,,,,,,,,,,,,,,,1,1,9124,19293,3298.6,4322.7,"",,,,80.1,75.6,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",3.8,QX200 ddPCR EvaGreen Supermix,76,,,4.8,2.9,58,18033,,,,,,18091,,,,,,,,,,,,,,,,,,1,1,9124,19639,2965.3,3018.7,"",,,,4.29,3.3,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1093,QX200 ddPCR EvaGreen Supermix,21860,,,1116,1072,10333,6740,,,,,,17073,,,,,,,,,,,,,,,,,,1,1,9124,18329,3094.8,12315,"",,,,1105,1082,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",98,QX200 ddPCR EvaGreen Supermix,1960,,,104,93,1395,16000,,,,,,17395,,,,,,,,,,,,,,,,,,1,1,9124,18444,2644.8,3911.8,"",,,,101,95.7,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",23.1,QX200 ddPCR EvaGreen Supermix,462,,,25.5,20.7,369,18605,,,,,,18974,,,,,,,,,,,,,,,,,,1,1,9124,18929,2490,2809.7,"",,,,24.3,21.9,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",948,QX200 ddPCR EvaGreen Supermix,18960,,,968,929,9791,7905,,,,,,17696,,,,,,,,,,,,,,,,,,1,1,9124,18653,2720.8,11536,"",,,,958,938,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",289,QX200 ddPCR EvaGreen Supermix,5780,,,298,279,3612,12996,,,,,,16608,,,,,,,,,,,,,,,,,,1,1,9124,18560,2446.7,5951.2,"",,,,293.3,283.7,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.56,QX200 ddPCR EvaGreen Supermix,11.2,,,1.04,0.25,8,16919,,,,,,16927,,,,,,,,,,,,,,,,,,1,1,9124,19998,2330.6,2338.9,"",,,,0.78,0.38,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",222,QX200 ddPCR EvaGreen Supermix,4440,,,230,215,3206,15400,,,,,,18606,,,,,,,,,,,,,,,,,,1,1,9124,19548,3348.1,6139.5,"",,,,226.4,218.6,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",8.2,QX200 ddPCR EvaGreen Supermix,164,,,9.6,6.8,131,18674,,,,,,18805,,,,,,,,,,,,,,,,,,1,1,9124,18967,2949.6,3061.2,"",,,,8.9,7.5,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1271,QX200 ddPCR EvaGreen Supermix,25420,,,1295,1247,11971,6152,,,,,,18123,,,,,,,,,,,,,,,,,,1,1,9124,18447,3132.8,13248,"",,,,1283,1259,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",244,QX200 ddPCR EvaGreen Supermix,4880,,,252,236,3362,14589,,,,,,17951,,,,,,,,,,,,,,,,,,1,1,9124,18915,2722.9,5755.5,"",,,,248.2,239.8,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",19.4,QX200 ddPCR EvaGreen Supermix,388,,,21.5,17.2,314,18929,,,,,,19243,,,,,,,,,,,,,,,,,,1,1,9124,19084,2495.6,2766.3,"",,,,20.4,18.3,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1265,QX200 ddPCR EvaGreen Supermix,25300,,,1290,1241,11466,5935,,,,,,17401,,,,,,,,,,,,,,,,,,1,1,9124,18713,2797.7,13285,"",,,,1278,1253,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",253,QX200 ddPCR EvaGreen Supermix,5060,,,262,244,3177,13255,,,,,,16432,,,,,,,,,,,,,,,,,,1,1,9124,18925,2460.1,5643.4,"",,,,257.3,248.3,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",13.7,QX200 ddPCR EvaGreen Supermix,274,,,15.6,11.8,199,17012,,,,,,17211,,,,,,,,,,,,,,,,,,1,1,9124,20515,2333.4,2543.6,"",,,,14.7,12.7,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",378,QX200 ddPCR EvaGreen Supermix,7560,,,389,368,4921,12984,,,,,,17905,,,,,,,,,,,,,,,,,,1,1,9124,19621,3334.6,7810.7,"",,,,383,373,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9.5,QX200 ddPCR EvaGreen Supermix,190,,,11.1,8,146,17944,,,,,,18090,,,,,,,,,,,,,,,,,,1,1,9124,18623,2962.4,3088.8,"",,,,10.3,8.7,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1090,QX200 ddPCR EvaGreen Supermix,21800,,,1111,1069,11200,7341,,,,,,18541,,,,,,,,,,,,,,,,,,1,1,9124,18522,3017.5,12383,"",,,,1101,1079,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",232,QX200 ddPCR EvaGreen Supermix,4640,,,240,224,3253,14893,,,,,,18146,,,,,,,,,,,,,,,,,,1,1,9124,19049,2690.5,5623.1,"",,,,236.5,228.3,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",19.8,QX200 ddPCR EvaGreen Supermix,396,,,22,17.6,316,18627,,,,,,18943,,,,,,,,,,,,,,,,,,1,1,9124,18981,2475.1,2750.5,"",,,,20.9,18.7,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1463,QX200 ddPCR EvaGreen Supermix,29260,,,1492,1434,11262,4564,,,,,,15826,,,,,,,,,,,,,,,,,,1,1,9124,17991,2794.8,13609,"",,,,1478,1448,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",372,QX200 ddPCR EvaGreen Supermix,7440,,,382,362,4918,13226,,,,,,18144,,,,,,,,,,,,,,,,,,1,1,9124,19034,2474.3,6963,"",,,,377,367,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1,QX200 ddPCR EvaGreen Supermix,20,,,1.6,0.5,14,17080,,,,,,17094,,,,,,,,,,,,,,,,,,1,1,9124,19118,2282.8,2296.6,"",,,,1.25,0.73,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",632,QX200 ddPCR EvaGreen Supermix,12640,,,646,618,7712,10848,,,,,,18560,,,,,,,,,,,,,,,,,,1,1,9124,19384,3353.2,10014,"",,,,639,625,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",19.7,QX200 ddPCR EvaGreen Supermix,394,,,21.9,17.5,317,18761,,,,,,19078,,,,,,,,,,,,,,,,,,1,1,9124,18700,2883,3145.8,"",,,,20.8,18.6,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1916,QX200 ddPCR EvaGreen Supermix,38320,,,1951,1882,14732,3595,,,,,,18327,,,,,,,,,,,,,,,,,,1,1,9124,17820,3275.8,14967,"",,,,1934,1899,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",265,QX200 ddPCR EvaGreen Supermix,5300,,,273,256,3465,13737,,,,,,17202,,,,,,,,,,,,,,,,,,1,1,9124,18585,2657,5865.4,"",,,,269.1,260.1,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",18.7,QX200 ddPCR EvaGreen Supermix,374,,,20.7,16.6,312,19523,,,,,,19835,,,,,,,,,,,,,,,,,,1,1,9124,19034,2438.6,2699.6,"",,,,19.7,17.6,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1944,QX200 ddPCR EvaGreen Supermix,38880,,,1980,1909,14501,3437,,,,,,17938,,,,,,,,,,,,,,,,,,1,1,9124,18091,2984.5,15197,"",,,,1962,1926,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",482,QX200 ddPCR EvaGreen Supermix,9640,,,494,470,6182,12220,,,,,,18402,,,,,,,,,,,,,,,,,,1,1,9124,18551,2462.9,7867.4,"",,,,488,475,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.79,QX200 ddPCR EvaGreen Supermix,15.8,,,1.33,0.42,12,17912,,,,,,17924,,,,,,,,,,,,,,,,,,1,1,9124,19342,2257.1,2268.5,"",,,,1.04,0.58,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",836,QX200 ddPCR EvaGreen Supermix,16720,,,854,819,9461,9132,,,,,,18593,,,,,,,,,,,,,,,,,,1,1,9124,19423,3351.3,11529,"",,,,845,828,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",17.9,QX200 ddPCR EvaGreen Supermix,358,,,20.1,15.7,260,16960,,,,,,17220,,,,,,,,,,,,,,,,,,1,1,9124,19040,2882.9,3126.9,"",,,,19,16.8,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",2173,QX200 ddPCR EvaGreen Supermix,43460,,,2214,2133,14508,2716,,,,,,17224,,,,,,,,,,,,,,,,,,1,1,9124,17704,3354.2,15441,"",,,,2194,2153,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",404,QX200 ddPCR EvaGreen Supermix,8080,,,415,393,5395,13175,,,,,,18570,,,,,,,,,,,,,,,,,,1,1,9124,18480,2680.3,7270.4,"",,,,409,398,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",30.5,QX200 ddPCR EvaGreen Supermix,610,,,33.2,27.9,512,19478,,,,,,19990,,,,,,,,,,,,,,,,,,1,1,9124,19053,2424.8,2850.7,"",,,,31.9,29.2,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1344,QX200 ddPCR EvaGreen Supermix,26880,,,1369,1319,12235,5736,,,,,,17971,,,,,,,,,,,,,,,,,,1,1,9124,18285,2791.4,13340,"",,,,1356,1331,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",799,QX200 ddPCR EvaGreen Supermix,15980,,,816,783,9048,9299,,,,,,18347,,,,,,,,,,,,,,,,,,1,1,9124,18367,2550.3,10350,"",,,,808,791,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.41,QX200 ddPCR EvaGreen Supermix,8.2,,,0.83,0.16,6,17345,,,,,,17351,,,,,,,,,,,,,,,,,,1,1,9124,18417,2285.9,2291.5,"",,,,0.6,0.26,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1454,QX200 ddPCR EvaGreen Supermix,29080,,,1481,1427,12398,5080,,,,,,17478,,,,,,,,,,,,,,,,,,1,1,9124,18839,3465.9,14371,"",,,,1468,1440,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",35,QX200 ddPCR EvaGreen Supermix,700,,,38.1,32,510,16867,,,,,,17377,,,,,,,,,,,,,,,,,,1,1,9124,18211,2860,3310.6,"",,,,36.6,33.5,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",7.3,QX200 ddPCR EvaGreen Supermix,146,,,8.6,6,122,19523,,,,,,19645,,,,,,,,,,,,,,,,,,1,1,9124,18792,2630.9,2731.3,"",,,,8,6.7,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",486,QX200 ddPCR EvaGreen Supermix,9720,,,498,473,6096,11927,,,,,,18023,,,,,,,,,,,,,,,,,,1,1,9124,18585,2719.4,8085.6,"",,,,492,479,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",40.5,QX200 ddPCR EvaGreen Supermix,810,,,43.5,37.4,691,19752,,,,,,20443,,,,,,,,,,,,,,,,,,1,1,9124,18587,2416.9,2963.5,"",,,,42,38.9,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1409,QX200 ddPCR EvaGreen Supermix,28180,,,1436,1383,12321,5327,,,,,,17648,,,,,,,,,,,,,,,,,,1,1,9124,18465,2849.4,13752,"",,,,1423,1396,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",751,QX200 ddPCR EvaGreen Supermix,15020,,,767,736,8889,9942,,,,,,18831,,,,,,,,,,,,,,,,,,1,1,9124,18689,2545.4,10166,"",,,,760,743,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",168,QX200 ddPCR EvaGreen Supermix,3360,,,177,159,1453,9473,,,,,,10926,,,,,,,,,,,,,,,,,,1,1,9124,20497,2333.1,4748.6,"",,,,172.3,163.5,,,,,,,,,,,,,
